accidentId,severity,eventDate,side,city,county,state,zipcode,temperature_F,windChill_F,humidity_perc,pressure_in,visibility_mi,windDirection,windSpeed_mph,precipitation_in,weatherCondition,sunriseSunset
A-138731,3,2017-02-02,L,Bronx,Bronx,NY,10451-2108,39.9,31.8,49,30.1,10,NW,15,,Mostly Cloudy,Night
A-596341,2,2021-03-26,R,Gastonia,Gaston,NC,28052,79,79,61,29.16,10,SW,8,0,Partly Cloudy,Day
A-342398,2,2021-04-15,R,Dallas,Dallas,TX,75209-6222,59,59,81,29.51,10,ENE,8,0,Mostly Cloudy,Night
A-531668,2,2021-07-23,R,Orlando,Orange,FL,32837,91,91,63,29.95,10,WSW,9,0,Mostly Cloudy,Day
A-564951,4,2021-10-06,R,Marcellus,Onondaga,NY,13108,69,69,75,29.85,10,NNE,5,0,Partly Cloudy,Day
A-501910,2,2021-08-02,R,Freeport,Brazoria,TX,77541,75,75,94,29.97,9,CALM,0,0,Fair,Night
A-340273,2,2021-12-17,R,Davis,Yolo,CA,95618,50,50,66,30.19,10,NE,3,0,Fair,Day
A-455169,2,2021-12-22,R,Federal Way,King,WA,98003,46,42,89,29.08,5,S,8,0.09,Light Rain,Day
A-899796,2,2021-06-20,R,Eagle Point,Jackson,OR,97524-9790,74,74,43,28.5,10,WSW,5,0,Fair,Night
A-581935,2,2021-07-27,R,Miami,Miami-Dade,FL,33157-5523,81,81,77,29.99,10,S,10,0,Light Rain with Thunder,Day
A-942363,2,2021-03-15,R,Brandywine,Prince George's,MD,20613-8083,32,23,35,30.03,10,N,13,0,Fair,Night
A-800568,2,2021-12-21,R,Richmond,Richmond City,VA,23221-2914,37,33,76,29.79,2,NE,5,0,Light Rain,Day
A-1008355,2,2021-08-28,R,Saint Paul,Ramsey,MN,55110,72,72,94,28.94,10,SE,7,0,Mostly Cloudy,Day
A-320965,2,2021-11-14,R,Nashville,Davidson,TN,37209-2626,54,54,40,29.33,10,SSW,13,0,Partly Cloudy,Day
A-747805,2,2021-12-18,R,Blue Earth,Faribault,MN,56013,17,2,88,29.02,10,NNW,15,0,Cloudy,Night
A-462407,2,2021-11-24,R,Boca Raton,Palm Beach,FL,33431,72,72,57,30.19,10,NE,13,0,Cloudy,Night
A-116177,2,2016-11-16,R,Los Angeles,Los Angeles,CA,90037,66,,68,29.83,10,West,3.5,,Clear,Day
A-827710,2,2021-12-09,R,Northfield,Litchfield,CT,6778,32,32,66,29.4,10,CALM,0,0,Cloudy,Day
A-596268,2,2021-10-11,R,Edgewood,Harford,MD,21040,63,63,86,29.99,10,NNE,8,0,Cloudy,Day
A-313478,2,2021-11-10,L,Saint Paul,Ramsey,MN,55112,48,44,54,28.83,10,E,10,0,Drizzle,Day
A-833036,2,2021-04-22,R,Alamo,Contra Costa,CA,94507-2447,59,59,62,29.89,10,VAR,7,0,Fair,Day
A-203650,4,2017-06-11,R,Rahway,Union,NJ,7065,91.4,,28,30,10,West,12.7,,Clear,Day
A-947467,2,2021-04-15,L,Somis,Ventura,CA,93066-9552,63,63,58,29.9,9,W,13,0,Fair,Day
A-530708,2,2021-10-09,R,Los Angeles,Los Angeles,CA,90007-4364,64,64,70,29.8,10,CALM,0,0,Fair,Night
A-925679,2,2021-12-05,R,Staten Island,Richmond,NY,10305,47,44,42,30.32,10,SE,7,0,Mostly Cloudy,Night
A-986234,2,2021-07-23,R,Atascadero,San Luis Obispo,CA,93422,87,87,24,,10,SSW,20,0,Fair,Day
A-95493,2,2016-07-01,R,Magna,Salt Lake,UT,84044,70.7,,52,30.1,10,Calm,,,Clear,Day
A-336235,2,2021-11-16,L,Riverside,Riverside,CA,92504-6322,61,61,70,29.08,10,W,7,0,Fair,Night
A-251682,2,2021-11-02,R,Bradenton,Manatee,FL,34203,81,81,62,29.99,10,NW,12,0,Fair,Day
A-401758,2,2021-08-30,R,Houston,Harris,TX,77036-2612,90,90,52,29.78,10,NNW,8,0,Fair,Day
A-706063,2,2021-07-09,L,Roanoke,Roanoke County,VA,24014-6174,79,79,72,28.74,10,CALM,0,0,Partly Cloudy,Day
A-735297,2,2021-07-07,R,Camp Pendleton,San Diego,CA,92055,71,71,66,29.72,10,SW,7,0,Fair,Day
A-810154,2,2021-11-17,R,Garland,Dallas,TX,75043,63,63,100,29.44,10,SSE,10,0,Cloudy,Day
A-24748,3,2016-08-05,R,Dallas,Dallas,TX,75204-3101,98.1,,36,29.9,10,SE,10.4,,Scattered Clouds,Day
A-600084,2,2021-06-18,R,South El Monte,Los Angeles,CA,91733,66,66,78,29.69,10,VAR,5,0,Mostly Cloudy,Night
A-562033,2,2021-06-15,R,Flint,Genesee,MI,48507,72,72,44,29.21,10,NNW,12,0,Fair,Day
A-702731,2,2021-08-22,R,Liberty,Pickens,SC,29657,73,73,95,28.86,10,CALM,0,0,Mostly Cloudy,Night
A-861755,4,2021-09-06,R,Bristol,Sullivan,TN,37620-9489,77,77,33,27.82,10,NE,3,0,Fair,Day
A-679060,2,2021-07-10,L,Baton Rouge,East Baton Rouge,LA,70810-4666,83,83,69,29.95,10,S,9,0,Fair,Night
A-1002995,2,2021-04-28,R,Grand Rapids,Kent,MI,49504,60,60,75,28.82,10,W,15,0,Cloudy,Night
A-971293,2,2021-04-07,R,Defuniak Springs,Walton,FL,32435-5418,62,62,93,29.9,9,CALM,0,0,Partly Cloudy,Day
A-797064,2,2021-08-29,R,Sparta,Kent,MI,49345,89,89,52,28.99,10,SSW,18,0,Mostly Cloudy,Day
A-599707,2,2021-04-14,R,Tehachapi,Kern,CA,93561,52,52,38,25.82,9,NW,28,0,Fair / Windy,Day
